Analyzing  GM
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1864'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_marion_russell'}, u'name': {u'type': u'literal', u'value': u'Charles Marion Russell'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1738'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/baptiste_jean_le_paon'}, u'name': {u'type': u'literal', u'value': u'Jean-Baptiste Le Paon'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1911'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/russell_wagoshe_william'}, u'name': {u'type': u'literal', u'value': u'Russell William Wagoshe'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1892'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/james_r_william'}, u'name': {u'type': u'literal', u'value': u'William R. James'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1823'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/burt_charles_kennedy'}, u'name': {u'type': u'literal', u'value': u'Charles Kennedy Burt'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1920'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/f_kuhn_robert'}, u'name': {u'type': u'literal', u'value': u'Robert F. Kuhn'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1861'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/frederic_remington'}, u'name': {u'type': u'literal', u'value': u'Frederic Remington'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1785'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bird_charles_king'}, u'name': {u'type': u'literal', u'value': u'Charles Bird King'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1946'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/c_cannon_t'}, u'name': {u'type': u'literal', u'value': u'T. C. Cannon'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1857'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/edward_henry_i_potthast'}, u'name': {u'type': u'literal', u'value': u'Edward Henry Potthast I'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1885'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/albert_herman_schmidt'}, u'name': {u'type': u'literal', u'value': u'Albert Herman Schmidt'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1887'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ronau_william_woiceske'}, u'name': {u'type': u'literal', u'value': u'Ronau William Woiceske'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1883'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/austin_charles_percy'}, u'name': {u'type': u'literal', u'value': u'Charles Percy Austin'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1867'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/borglum_gutzon'}, u'name': {u'type': u'literal', u'value': u'Gutzon Borglum'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1920'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/herrera_hilario_joe'}, u'name': {u'type': u'literal', u'value': u'Joe Hilario Herrera'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1790'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alfred_hoffy_m'}, u'name': {u'type': u'literal', u'value': u'Alfred M. Hoffy'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1935'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/kay_walkingstick'}, u'name': {u'type': u'literal', u'value': u'Kay WalkingStick'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1912'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jessie_wilber'}, u'name': {u'type': u'literal', u'value': u'Jessie Wilber'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1822'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bonheur_rosa'}, u'name': {u'type': u'literal', u'value': u'Rosa Bonheur'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1913'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/goodbear_j_paul'}, u'name': {u'type': u'literal', u'value': u'Paul J. Goodbear'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1947'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/biss_earl_jr'}, u'name': {u'type': u'literal', u'value': u'Earl Biss Jr.'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1882'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/duran_galarza_pedro'}, u'name': {u'type': u'literal', u'value': u'Pedro Galarza Duran'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1830'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/albert_bierstadt'}, u'name': {u'type': u'literal', u'value': u'Albert Bierstadt'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1900'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/fred_kabotie'}, u'name': {u'type': u'literal', u'value': u'Fred Kabotie'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1916'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brownell_mcgrew_ralph'}, u'name': {u'type': u'literal', u'value': u'Ralph Brownell McGrew'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1918'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/percy_sandy_tsisete'}, u'name': {u'type': u'literal', u'value': u'Percy Tsisete Sandy'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1816'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/emanuel_gottlieb_leutze'}, u'name': {u'type': u'literal', u'value': u'Emanuel Gottlieb Leutze'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1896'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/h_kamps_norman'}, u'name': {u'type': u'literal', u'value': u'Norman H. Kamps'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1818'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/friedrich_kurz'}, u'name': {u'type': u'literal', u'value': u'Friedrich Kurz'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1891'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bebb_maurice_r'}, u'name': {u'type': u'literal', u'value': u'Maurice R. Bebb'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1856'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/merritt_post_william'}, u'name': {u'type': u'literal', u'value': u'William Merritt Post'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1824'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/arnold_edward_everard'}, u'name': {u'type': u'literal', u'value': u'Edward Everard Arnold'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1841'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/becker_joseph'}, u'name': {u'type': u'literal', u'value': u'Joseph Becker'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1866'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/atkins_hermon_macneil'}, u'name': {u'type': u'literal', u'value': u'Hermon Atkins MacNeil'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1881'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/carl_sweezy'}, u'name': {u'type': u'literal', u'value': u'Carl Sweezy'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1847'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/albert_blakelock_ralph'}, u'name': {u'type': u'literal', u'value': u'Ralph Albert Blakelock'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1840'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/august_becker_h'}, u'name': {u'type': u'literal', u'value': u'August H. Becker'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1903'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/gene_kloss'}, u'name': {u'type': u'literal', u'value': u'Gene Kloss'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1766'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/friedrich_johann_waldeck'}, u'name': {u'type': u'literal', u'value': u'Johann Friedrich Waldeck'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1860'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/deming_edwin_willard'}, u'name': {u'type': u'literal', u'value': u'Edwin Willard Deming'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1808'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bryan_hall_henry_i'}, u'name': {u'type': u'literal', u'value': u'Henry Bryan Hall I'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1822'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alexander_hay_ritchie'}, u'name': {u'type': u'literal', u'value': u'Alexander Hay Ritchie'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1955'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/andoe_joe'}, u'name': {u'type': u'literal', u'value': u'Joe Andoe'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1795'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/drayton_joseph'}, u'name': {u'type': u'literal', u'value': u'Joseph Drayton'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1855'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brush_de_forest_george'}, u'name': {u'type': u'literal', u'value': u'George de Forest Brush'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1848'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/augustus_gaudens_saint'}, u'name': {u'type': u'literal', u'value': u'Augustus Saint-Gaudens'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1806'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/peter_rindisbacher'}, u'name': {u'type': u'literal', u'value': u'Peter Rindisbacher'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1808'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/eastman_seth'}, u'name': {u'type': u'literal', u'value': u'Seth Eastman'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1844'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jules_tavernier'}, u'name': {u'type': u'literal', u'value': u'Jules Tavernier'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1876'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/earle_fraser_james'}, u'name': {u'type': u'literal', u'value': u'James Earle Fraser'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1924'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hurley_wilson'}, u'name': {u'type': u'literal', u'value': u'Wilson Hurley'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1942'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/crumbo_minisa'}, u'name': {u'type': u'literal', u'value': u'Minisa Crumbo'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1785'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/audubon_james_john'}, u'name': {u'type': u'literal', u'value': u'John James Audubon'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1646'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/correa_juan'}, u'name': {u'type': u'literal', u'value': u'Juan Correa'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1761'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/edward_savage'}, u'name': {u'type': u'literal', u'value': u'Edward Savage'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1844'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cassatt_mary'}, u'name': {u'type': u'literal', u'value': u'Mary Cassatt'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1906'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/auchiah_james'}, u'name': {u'type': u'literal', u'value': u'James Auchiah'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1908'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alfredo_zalce'}, u'name': {u'type': u'literal', u'value': u'Alfredo Zalce'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1861'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/castileden_f_george'}, u'name': {u'type': u'literal', u'value': u'George F. Castileden'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1942'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cooper_wayne'}, u'name': {u'type': u'literal', u'value': u'Wayne Cooper'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1780'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/edward_hicks'}, u'name': {u'type': u'literal', u'value': u'Edward Hicks'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1823'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/chapin_john_reuben'}, u'name': {u'type': u'literal', u'value': u'Chapin, John Reuben'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1864'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/dawson_watson'}, u'name': {u'type': u'literal', u'value': u'Dawson-Watson'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1939'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/dawson_watson'}, u'name': {u'type': u'literal', u'value': u'Dawson-Watson'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1864'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/dawson_watson'}, u'name': {u'type': u'literal', u'value': u'Dawson-Watson'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1829'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hill_thomas'}, u'name': {u'type': u'literal', u'value': u'Thomas Hill'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1920'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/juan_soriano'}, u'name': {u'type': u'literal', u'value': u'Juan Soriano'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1806'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/george_harvey'}, u'name': {u'type': u'literal', u'value': u'George Harvey'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1864'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/emil_lenders_william'}, u'name': {u'type': u'literal', u'value': u'Emil William Lenders'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1826'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/church_edwin_frederic'}, u'name': {u'type': u'literal', u'value': u'Frederic Edwin Church'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1897'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bassett_reveau'}, u'name': {u'type': u'literal', u'value': u'Reveau Bassett'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1801'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/knight_t_w'}, u'name': {u'type': u'literal', u'value': u'T. W. Knight'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1893'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/a_pe_tonita'}, u'name': {u'type': u'literal', u'value': u'Tonita Pe\ufffda'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1811'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/d_fr_lehnert_pierre_ric'}, u'name': {u'type': u'literal', u'value': u'Pierre Fr\ufffdd\ufffdric Lehnert'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1904'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/monroe_tsatoke'}, u'name': {u'type': u'literal', u'value': u'Monroe Tsatoke'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1850'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/chester_daniel_french'}, u'name': {u'type': u'literal', u'value': u'Daniel Chester French'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1913'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/mccombs_solomon'}, u'name': {u'type': u'literal', u'value': u'Solomon McCombs'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1924'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/frank_mccarthy'}, u'name': {u'type': u'literal', u'value': u'Frank McCarthy'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1899'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/rufino_tamayo'}, u'name': {u'type': u'literal', u'value': u'Rufino Tamayo'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1914'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/allan_c_houser'}, u'name': {u'type': u'literal', u'value': u'Allan C. Houser'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1915'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jose_rey_toledo'}, u'name': {u'type': u'literal', u'value': u'Jose Rey Toledo'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1938'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/corn_jim_lacy_red'}, u'name': {u'type': u'literal', u'value': u'Jim Lacy Red Corn'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1796'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/miller_william'}, u'name': {u'type': u'literal', u'value': u'William Miller'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1873'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/eugene_fish_glaman'}, u'name': {u'type': u'literal', u'value': u'Eugene Fish Glaman'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1908'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/chalee_pop'}, u'name': {u'type': u'literal', u'value': u'Pop Chalee'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1897'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ellis_f_fremont'}, u'name': {u'type': u'literal', u'value': u'Fremont F. Ellis'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1912'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ace_powell'}, u'name': {u'type': u'literal', u'value': u'Ace Powell'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1918'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/de_hoyos_mart_nez_ricardo'}, u'name': {u'type': u'literal', u'value': u'Ricardo Mart\ufffdnez de Hoyos'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1896'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/baze_lane_pond_willi'}, u'name': {u'type': u'literal', u'value': u'Willi Baze Lane Pond'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1927'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/howard_terpning'}, u'name': {u'type': u'literal', u'value': u'Howard Terpning'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1841'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/edward_henry_lamson'}, u'name': {u'type': u'literal', u'value': u'Edward Lamson Henry'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1738'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/copley_john_singleton'}, u'name': {u'type': u'literal', u'value': u'John Singleton Copley'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1738'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/benjamin_west'}, u'name': {u'type': u'literal', u'value': u'Benjamin West'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1934'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ross_stefan'}, u'name': {u'type': u'literal', u'value': u'Ross Stefan'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1844'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/eakins_thomas'}, u'name': {u'type': u'literal', u'value': u'Thomas Eakins'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1812'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/audubon_john_woodhouse'}, u'name': {u'type': u'literal', u'value': u'John Woodhouse Audubon'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1810'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brutus_junius_stearns'}, u'name': {u'type': u'literal', u'value': u'Junius Brutus Stearns'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1939'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/blalock_jones_ruthe'}, u'name': {u'type': u'literal', u'value': u'Ruthe Blalock Jones'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1842'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hall_prior_sydney'}, u'name': {u'type': u'literal', u'value': u'Sydney Prior Hall'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1642'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/francisco_guti_rrez'}, u'name': {u'type': u'literal', u'value': u'Francisco Guti\ufffdrrez'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1901'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cook_howard_norton'}, u'name': {u'type': u'literal', u'value': u'Howard Norton Cook'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1850'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/augusta_brownscombe_jennie'}, u'name': {u'type': u'literal', u'value': u'Jennie Augusta Brownscombe'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1886'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/diego_rivera'}, u'name': {u'type': u'literal', u'value': u'Diego Rivera'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1801'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/henry_inman'}, u'name': {u'type': u'literal', u'value': u'Henry Inman'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1866'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/couse_eanger_irving'}, u'name': {u'type': u'literal', u'value': u'Eanger Irving Couse'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1884'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ella_fillimore_lillie'}, u'name': {u'type': u'literal', u'value': u'Ella Fillimore Lillie'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1884'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bugatti_rembrandt'}, u'name': {u'type': u'literal', u'value': u'Rembrandt Bugatti'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1851'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/swan_white'}, u'name': {u'type': u'literal', u'value': u'White Swan'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1783'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/sully_thomas'}, u'name': {u'type': u'literal', u'value': u'Thomas Sully'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1871'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/adam_imhof_joseph'}, u'name': {u'type': u'literal', u'value': u'Joseph Adam Imhof'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1813'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ranney_tylee_william'}, u'name': {u'type': u'literal', u'value': u'William Tylee Ranney'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1812'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/agate_alfred_thomas'}, u'name': {u'type': u'literal', u'value': u'Alfred Thomas Agate'}}
